,spoc,riemann,n_components,fold_idx
1,0.08981331410593019,-0.06398340296607019,17,1
2,0.5058625315864943,0.025639221931969658,17,2
3,0.3398663297767749,-0.07715591846542602,17,3
4,0.31609346407480177,0.3152092987410966,17,4
5,0.16615404994532046,-0.009726069198526144,17,5
6,0.46419813110149766,-0.06398340296607019,17,6
7,0.3852882459351288,0.3152092987410966,17,7
8,0.25203622882254884,-0.07254135256782179,17,8
9,0.4039778711336349,-0.06398340296607019,17,9
0,0.3613887672461036,0.06017785550995547,18,0
1,0.42655384839358845,0.0026109702116826616,18,1
2,0.6070838539961787,-0.10851161414246402,18,2
3,0.29966963386461554,0.18639043979546444,18,3
4,0.5499670584515832,-0.4945725971837207,18,4
5,0.33701468973489535,-0.3222808097719192,18,5
6,0.20331308804218406,0.14357386833462582,18,6
7,0.6070838539961787,0.14357386833462582,18,7
8,0.04220361656977045,0.09602610221653496,18,8
9,0.23032388428440775,-0.0358728838434037,18,9
0,0.34793906910036965,0.029299158300126305,19,0
1,0.58372923635743,-0.4206688011869659,19,1
2,0.4328395187077363,-0.1735862859995183,19,2
3,0.41394078771687115,-0.39447386493147385,19,3
4,0.5059969836272726,0.12909965192837247,19,4
5,0.4328395187077363,-0.011979008717273087,19,5
6,0.13773034152876173,-0.20787450547005948,19,6
7,0.49601325627800685,-0.5498126669391479,19,7
8,0.22345360905494482,-0.13825217483646313,19,8
9,0.5855746250926934,-0.30179934913352047,19,9
0,0.5177863421243223,-0.3367753939159692,20,0
1,0.5398082297657165,0.06657652356485266,20,1
2,0.4970850410685721,0.07469698526133373,20,2
3,0.3022746555315471,-0.15040373187439604,20,3
4,0.37273979825550474,0.04257315417557417,20,4
5,0.3224713184056609,-0.25856022889876873,20,5
6,0.41086302407764264,0.11678255203490784,20,6
7,0.4180164693278754,0.2635606292991618,20,7
8,0.41142471931498603,-0.39878204481791535,20,8
9,0.41086302407764264,-0.4417339287082078,20,9
0,0.5327257555966649,0.1392758632481419,21,0
1,0.41459549937263296,0.2334146871457201,21,1
2,0.44372410233662885,0.21046100156751157,21,2
3,0.37835676196339185,0.21046100156751157,21,3
4,0.379253580159555,0.10590077624319261,21,4
5,0.23299054890118553,0.1606223021361145,21,5
6,0.37835676196339185,0.10346072927788419,21,6
7,0.404745647995587,-0.5344685983523558,21,7
8,0.35296063826758506,0.22904783969190068,21,8
9,0.37835676196339185,0.05301694876711571,21,9
0,0.3515462607447004,0.14767683666521825,22,0
1,0.36149818200674044,0.27546994812278003,22,1
2,0.5158894012598374,0.13539717728112677,22,2
3,0.3515462607447004,-0.06895422242058924,22,3
4,0.13213369198762737,0.20218050998638948,22,4
5,0.4372584154528074,0.38157480891885265,22,5
6,0.32845069359035217,0.2378403535059136,22,6
7,0.34297100333868913,0.15598086491927066,22,7
8,0.24670885207604554,-0.13260663804861306,22,8
9,0.5008871769962489,0.026332064148073542,22,9
0,0.34319718070418614,0.2769091109992582,23,0
1,0.40718219611722717,0.2769091109992582,23,1
2,0.3736497160157799,0.09458454892386636,23,2
3,0.35874218492556487,0.11243692895100355,23,3
4,0.40718219611722717,0.24976439840423004,23,4
5,0.5605682361048863,0.3363866990951532,23,5
6,0.15435850663711093,0.24976439840423004,23,6
7,0.4112884005325895,0.1991481157200452,23,7
8,0.4429781636887895,0.2521056940893963,23,8
9,0.36067566910908533,0.2521056940893963,23,9
0,0.3377367935165341,0.041832274321893625,24,0
1,0.16015851101349665,0.2798261095485971,24,1
2,0.48492273612788206,0.30563038349606675,24,2
3,0.4757441686343441,0.31892869611351904,24,3
4,0.4757441686343441,0.30557816008711314,24,4
5,0.3448731115270153,0.113341483787751,24,5
6,0.3169403244295429,0.1280436302469663,24,6
7,0.4015854552542715,0.12193970341052884,24,7
8,0.4449247948574713,0.28644294182420593,24,8
9,0.3324484434623466,0.5299774092451421,24,9
0,0.3534465727437025,0.3954262708902918,25,0
1,0.4571787510629082,0.45271042422459173,25,1
2,0.3871252015430938,0.16696636976466495,25,2
3,0.47029089347275976,0.040521958562311666,25,3
4,0.37960082453251043,0.1512406429609875,25,4
5,0.37960082453251043,0.2239219137570354,25,5
6,0.3426538680993545,0.3953719774582528,25,6
7,0.3968398926289446,0.25124520533539807,25,7
8,0.2579147290128131,0.3954262708902918,25,8
9,0.3871252015430938,0.16490738202057087,25,9
0,0.5441809291862105,0.1500249840669775,26,0
1,0.5647627438070171,0.12663014230790293,26,1
2,0.19919221627080996,0.332403465807389,26,2
3,0.4722347204799203,0.2249672825448754,26,3
4,0.1869706960997719,0.28604356085808524,26,4
5,0.35987734070859245,0.15381986034203454,26,5
6,0.446693772435952,0.4787817277475569,26,6
7,0.4695994866602389,0.12123605687774308,26,7
8,0.14715356332416085,0.15381986034203454,26,8
9,0.3339465257874923,0.4787817277475569,26,9
0,0.34045011883942844,0.03900634489800636,27,0
1,0.3495837852730741,0.22928395131433554,27,1
2,0.5017677943288457,0.06521984296106997,27,2
3,0.27034131617927804,0.19507485958886028,27,3
4,0.33632676370726666,0.31345515032924665,27,4
5,0.44076452297977153,0.46227129242379617,27,5
6,0.3125745079828097,0.14594705921028828,27,6
7,0.21527895725642443,0.46227129242379617,27,7
8,0.2166152974128297,0.010286901977474394,27,8
9,0.3668229898424742,0.3973228781180227,27,9
0,0.4543106473236562,0.34826233125186634,28,0
1,0.33703146015389396,0.41029741790804575,28,1
2,0.36854705189156933,0.14682270193903735,28,2
3,0.3719048338826857,0.21359476797574306,28,3
4,0.25432509869279796,0.45729985866819167,28,4
5,0.4369451707830948,-0.14945224944606306,28,5
6,0.25328915306690103,0.08809423243825398,28,6
7,0.3117134865870703,0.3446430007514162,28,7
8,0.19067711440442148,0.4398079178556431,28,8
9,0.46523075303221073,0.14682270193903735,28,9
0,0.35774208276334296,0.2484875038335338,29,0
1,0.2190733157202942,0.2738960206969928,29,1
2,0.5780461935015588,0.5526479078560173,29,2
3,0.380440474140996,0.46026214270440935,29,3
4,0.3086368151178881,0.10053790250380135,29,4
5,0.35774208276334296,0.08369962034904777,29,5
6,0.3640147144706347,0.13954198761246317,29,6
7,0.4895820501633895,0.5160750760519475,29,7
8,0.33223064527747903,0.3555284687234628,29,8
9,0.5780461935015588,0.4216141694125112,29,9
0,0.4786751934280187,0.23270266805798856,30,0
1,0.3537848627681687,0.5414771279613693,30,1
2,0.25635256972859355,0.5897205287744547,30,2
3,0.2920040914260825,0.2627758261516049,30,3
4,0.36025249527989267,0.1838937086889585,30,4
